date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:29	29905/29905	---M-Z	200	added ('OK')	text/html	etag:W/%22fc47fd87b3d6faeb96656cecdd934c12-gzip%22	https://tunasport.weebly.com/	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/index.html	(from )
13:21:29	133/133	---M--	200	added ('OK')	text/plain	etag:W/%2204973fdc9b6adc6709e3bef41fd9d7b7%22	https://tunasport.weebly.com/robots.txt		(from )
13:21:29	7094/7094	---M--	200	added ('OK')	image/png	etag:%22894c837c4-1bb6-56669066d9f40%22	http://tunasport.weebly.com/uploads/7/4/5/1/74515899/published/baseketball_1.png?1519976149	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/uploads/7/4/5/1/74515899/published/baseketball_10aa0.png	(from https://tunasport.weebly.com/)
13:21:30	230269/230269	---M-Z	200	added ('OK')	text/css	etag:W/%225a99c8b6-3837d%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1520028611	C:/My%20Websites/BasketballWebsite2/cdn2.editmysite.com/css/sitesb7cc.css	(from https://tunasport.weebly.com/)
13:21:30	3911/3911	---M-Z	200	added ('OK')	text/css	etag:%225a99c8b6-f47%22	http://cdn2.editmysite.com/css/old/fancybox.css?1520028611	C:/My%20Websites/BasketballWebsite2/cdn2.editmysite.com/css/old/fancyboxc130.css	(from https://tunasport.weebly.com/)
13:21:30	13081/13081	---M-Z	200	added ('OK')	text/css	etag:W/%225a99c8b6-3319%22	http://cdn2.editmysite.com/css/social-icons.css?buildtime=1520028611	C:/My%20Websites/BasketballWebsite2/cdn2.editmysite.com/css/social-icons951d.css	(from https://tunasport.weebly.com/)
13:21:32	42523/42523	---M--	200	added ('OK')	text/css	date:Tue,%2006%20Mar%202018%2005:21:29%20GMT	https://tunasport.weebly.com/files/main_style.css?1520046411	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/files/main_style5a22.css	(from https://tunasport.weebly.com/)
13:21:32	162/162	---M-Z	200	added ('OK')	text/css	etag:%225a8e2d6d-a2%22	http://cdn2.editmysite.com/fonts/Bebas/font.css?2	C:/My%20Websites/BasketballWebsite2/cdn2.editmysite.com/fonts/Bebas/fontc81e.css	(from https://tunasport.weebly.com/)
13:21:34	120018/120018	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225a99c8b6-1d4d2%22	http://cdn2.editmysite.com/js/lang/zh_TW/stl.js?buildTime=1520028611&	C:/My%20Websites/BasketballWebsite2/cdn2.editmysite.com/js/lang/zh_TW/stle032.js	(from https://tunasport.weebly.com/)
13:21:36	475464/475464	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225a99c8b6-74148%22	http://cdn2.editmysite.com/js/site/main.js?buildTime=1520028611	C:/My%20Websites/BasketballWebsite2/cdn2.editmysite.com/js/site/mainb7cc.js	(from https://tunasport.weebly.com/)
13:21:36	93636/93636	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/My%20Websites/BasketballWebsite2/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from https://tunasport.weebly.com/)
13:21:36	699/699	---MC-	200	added ('OK')	text/javascript	date:Tue,%2006%20Mar%202018%2005:21:34%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Websites/BasketballWebsite2/www.google.com/recaptcha/api.js	(from https://tunasport.weebly.com/)
13:21:37	26065/26065	---M-Z	200	added ('OK')	text/html	etag:W/%22520d55f755db85bef953f653d61ce6e7-gzip%22	https://tunasport.weebly.com/27963212053677427861.html	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/27963212053677427861.html	(from https://tunasport.weebly.com/)
13:21:37	25058/25058	---M-Z	200	added ('OK')	text/html	etag:W/%221720a6df2699502c8240ee6ac5d158c1-gzip%22	https://tunasport.weebly.com/36093201073603935338.html	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/36093201073603935338.html	(from https://tunasport.weebly.com/)
13:21:37	280/280	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Mar%202018%2005:21:36%20GMT	https://tunasport.weebly.com/indexphp.html	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/indexphp.html	(from https://tunasport.weebly.com/)
13:21:38	24950/24950	---M-Z	200	added ('OK')	text/html	etag:W/%22d1376e157dfeb898ab8a5b38b4e1c5ab-gzip%22	https://tunasport.weebly.com/indexphp	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/indexphp.html	(from https://tunasport.weebly.com/)
13:21:38	23757/23757	---M-Z	200	added ('OK')	text/html	etag:W/%22d360658045d269b9c5c9df5a572a96ff-gzip%22	https://tunasport.weebly.com/27963212052903129255.html	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/27963212052903129255.html	(from https://tunasport.weebly.com/)
13:21:38	23365/23365	---M-Z	200	added ('OK')	text/html	etag:W/%22c18a699426354af57dafed3fb817a08c-gzip%22	https://tunasport.weebly.com/32879320972510520497.html	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/32879320972510520497.html	(from https://tunasport.weebly.com/)
13:21:39	1515/1515	---M--	404	error ('Not%20Found')	text/html	etag:%225a9dcc4f-5eb%22	https://tunasport.weebly.com/%22/uploads/7/4/5/1/74515899/background-images/361192395.jpeg%22	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/_/uploads/7/4/5/1/74515899/background-images/361192395.jpeg_	(from https://tunasport.weebly.com/)
13:21:40	3875/3875	---M-Z	200	added ('OK')	application/x-javascript	etag:%225a9d8ef2-f23%22	http://cdn2.editmysite.com/js/site/footerSignup.js?buildTime=1520276734	C:/My%20Websites/BasketballWebsite2/cdn2.editmysite.com/js/site/footerSignupf116.js	(from https://tunasport.weebly.com/)
13:21:41	5617/5617	---M--	200	added ('OK')	application/javascript	etag:%2288c90f4a1-15f1-563625d4fa9c0%22	https://tunasport.weebly.com/files/theme/custom.js?1516649007	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/files/theme/custom9dc6.js	(from https://tunasport.weebly.com/)
13:21:42	711173/711173	---M--	200	added ('OK')	image/jpeg	etag:%228951c09e5-ada05-5666822ead300%22	https://tunasport.weebly.com/uploads/7/4/5/1/74515899/background-images/1959573408.jpg	C:/My%20Websites/BasketballWebsite2/tunasport.weebly.com/uploads/7/4/5/1/74515899/background-images/1959573408.jpg	(from https://tunasport.weebly.com/)
